민방위 비상급수시설명,소재지 주소,규모(일_톤),심도(m),용도,데이터기준일자
학장벽산아파트,부산광역시 사상구 학감대로 105-21 (학장동),95,120,비음용,2022-07-01
한효아파트,부산광역시 사상구 백양대로342번길 40 (주례동),70,200,음용,2022-07-01
협성아파트,부산광역시 사상구 백양대로950번나길 14 (모라동),79,150,비음용,2022-07-01
화인아파트,부산광역시 사상구 백양대로934번길 52-6 (모라동),59,130,비음용,2022-07-01
아름스파,부산광역시 사상구 대동로 304(감전동),260,300,비음용,2022-07-01
양지어린이공원옆,부산광역시 사상구 양지로8번길 5-22(주례동),86,100,비음용,2022-07-01
야시곡공원앞,부산광역시 사상구 백양대로950번나길 93(모라동),100,50,비음용,2022-07-01
미트피아,부산광역시 사상구 백양대로 507(주례동),70,100,비음용,2022-07-01
,,,,,
,,,,,
,,,,, 
